Player,Pk,Age at Draft,Height (in),MPG-NBA,AST-NBA,TOV-NBA,AST/TOV-NBA,AST%-NBA,TOV%-NBA,MPG-Col,AST-Col,TOV-Col,AST/TOV-Col,AST%-Col,TOV%-Col,SOS-Col
Malik Monk,11,19.143,75,13.6,1.4,0.8,1.8,16.9,9.8,32.1,2.3,2.0,1.2,13.3,10.4,10.49
Troy Bell,16,22.233,73,5.7,0.7,1.0,0.7,18.7,23.7,35.7,3.5,2.3,1.5,21.6,13.6,5.85
Reece Gaines,15,22.175,78,8.5,0.7,0.4,1.8,12.5,13.8,31.6,3.8,2.7,1.4,23.4,16.4,7.91
Rashad Vaughn,17,18.317,78,12.0,0.5,0.3,1.7,6.4,8.9,32.3,1.6,2.2,0.7,11.8,11.8,3.38
De'Aaron Fox,5,19.189,75,27.8,4.4,2.4,1.8,24.6,16.4,29.6,4.6,2.4,1.9,28.6,13.7,10.49
Dennis Smith,9,19.214,75,29.7,5.2,2.8,1.9,29.5,15.0,34.8,6.2,3.4,1.8,34.2,17.3,8.09
Nolan Smith,21,22.338,74,9.9,1.2,0.8,1.5,18.8,18.2,26.9,2.8,2.0,1.4,21.1,14.4,8.97
Maurice Ager,28,22.145,77,6.2,0.2,0.4,0.5,6.1,12.0,25.6,1.5,1.7,0.9,12.0,13.3,8.19
Marquis Teague,29,19.125,74,10.0,1.5,0.8,1.9,23.1,22.0,32.6,4.8,2.7,1.8,25.6,21.1,7.93
Jonny Flynn,6,20.144,72,22.9,3.9,2.3,1.7,26.7,19.9,36.5,6.0,3.1,1.9,26.8,17.3,8.72
Tony Wroten,25,19.081,77,21.2,3.0,2.6,1.2,25.5,18.6,30.3,3.7,3.8,1.0,24.5,18.7,5.27
Mardy Collins,29,21.333,78,14.7,1.7,1.1,1.5,18.5,19.1,37.5,3.2,2.0,1.6,22.6,11.2,5.33
